age,person,minutes
15,alone,193.30588
15,friends,109.4145
15,children,23.463852
15,parents,267.12091
15,partner,0
15,coworkers,8.3420067
16,alone,206.37056
16,friends,110.7418
16,children,28.609867
16,parents,254.3381
16,partner,0.030690858
16,coworkers,23.529137
17,alone,224.17331
17,friends,120.41887
17,children,26.089708
17,parents,229.81561
17,partner,1.1228406
17,coworkers,43.809685
18,alone,242.69839
18,friends,137.75107
18,children,27.387308
18,parents,236.35201
18,partner,5.6972671
18,coworkers,81.633575
19,alone,267.79385
19,friends,129.85716
19,children,36.445004
19,parents,201.2766
19,partner,19.341291
19,coworkers,124.85052
20,alone,277.60379
20,friends,122.7402
20,children,54.630512
20,parents,173.13503
20,partner,26.35417
20,coworkers,143.9003
21,alone,270.21817
21,friends,122.40627
21,children,69.293869
21,parents,152.67331
21,partner,59.897781
21,coworkers,154.20972
22,alone,283.56686
22,friends,100.16862
22,children,72.302246
22,parents,135.8266
22,partner,55.767094
22,coworkers,173.0473
23,alone,270.93015
23,friends,101.07177
23,children,96.935883
23,parents,125.79333
23,partner,78.188667
23,coworkers,190.10524
24,alone,265.81378
24,friends,96.786346
24,children,99.394424
24,parents,103.75845
24,partner,99.44416
24,coworkers,206.05486
25,alone,275.12906
25,friends,77.543015
25,children,119.50971
25,parents,101.02744
25,partner,121.25083
25,coworkers,199.20917
26,alone,281.63202
26,friends,77.856834
26,children,128.59393
26,parents,87.654915
26,partner,139.91745
26,coworkers,190.09406
27,alone,259.3331
27,friends,74.140686
27,children,153.33383
27,parents,85.956535
27,partner,151.88562
27,coworkers,211.48781
28,alone,261.13989
28,friends,62.491688
28,children,175.83809
28,parents,80.147217
28,partner,168.24556
28,coworkers,212.14497
29,alone,253.66589
29,friends,55.084454
29,children,194.49931
29,parents,81.6101
29,partner,176.19919
29,coworkers,199.11349
30,alone,250.02524
30,friends,53.478016
30,children,199.76436
30,parents,72.476334
30,partner,180.02309
30,coworkers,215.61365
31,alone,253.16542
31,friends,50.925926
31,children,225.92371
31,parents,69.526543
31,partner,203.71202
31,coworkers,199.06003
32,alone,255.07323
32,friends,49.464462
32,children,230.71593
32,parents,61.336475
32,partner,192.00175
32,coworkers,202.76134
33,alone,244.90091
33,friends,49.731628
33,children,256.41312
33,parents,66.359383
33,partner,200.02365
33,coworkers,186.96373
34,alone,263.59116
34,friends,42.650288
34,children,261.18497
34,parents,65.723053
34,partner,199.23759
34,coworkers,179.36411
35,alone,262.62488
35,friends,41.661636
35,children,248.93806
35,parents,62.107143
35,partner,198.27702
35,coworkers,190.68065000000001
36,alone,273.27942
36,friends,40.120937
36,children,256.59799
36,parents,64.809921
36,partner,197.55948
36,coworkers,178.94667
37,alone,267.09787
37,friends,43.362503
37,children,256.37634
37,parents,56.446011
37,partner,204.00514
37,coworkers,188.47969
38,alone,258.99704
38,friends,42.101093
38,children,254.45975
38,parents,54.001514
38,partner,203.30919
38,coworkers,197.09261
39,alone,281.98877
39,friends,33.611919
39,children,266.07874
39,parents,52.701588
39,partner,212.07637
39,coworkers,172.79756
40,alone,278.25668
40,friends,36.197014
40,children,242.43935
40,parents,54.638985
40,partner,201.94627
40,coworkers,187.34126
41,alone,292.07227
41,friends,38.729492
41,children,237.29298
41,parents,55.611694
41,partner,194.68652
41,coworkers,179.37498
42,alone,297.90939
42,friends,38.695633
42,children,222.96886
42,parents,50.690075
42,partner,182.25496
42,coworkers,189.4864
43,alone,321.74783
43,friends,39.107994
43,children,207.65651
43,parents,55.288914
43,partner,181.83145
43,coworkers,169.79688
44,alone,312.69861
44,friends,38.859802
44,children,207.01961
44,parents,54.224209
44,partner,191.94835
44,coworkers,182.13411
45,alone,309.03583
45,friends,36.090996
45,children,199.21028
45,parents,58.068977
45,partner,183.99062
45,coworkers,182.52716
46,alone,326.78207
46,friends,37.459354
46,children,177.52652
46,parents,54.798512
46,partner,186.65195
46,coworkers,179.01489
47,alone,338.24756
47,friends,39.243477
47,children,168.4313
47,parents,60.089104
47,partner,181.05563
47,coworkers,171.43033
48,alone,332.5762
48,friends,33.357357
48,children,157.297
48,parents,58.556328
48,partner,197.96497
48,coworkers,170.06847
49,alone,339.72601
49,friends,37.315029
49,children,132.68301
49,parents,58.63641
49,partner,194.11002
49,coworkers,187.72957
50,alone,361.14328
50,friends,28.917883
50,children,132.44537
50,parents,65.362938
50,partner,174.92821
50,coworkers,168.1844
51,alone,368.59146
51,friends,35.627602
51,children,123.67976
51,parents,62.211754
51,partner,187.80592
51,coworkers,172.19505
52,alone,380.84085
52,friends,33.961197
52,children,102.66885
52,parents,65.243996
52,partner,190.51634
52,coworkers,176.08771
53,alone,372.17041
53,friends,31.585169
53,children,102.3604
53,parents,59.573872
53,partner,188.71446
53,coworkers,168.29805
54,alone,377.70459
54,friends,34.837147
54,children,89.755821
54,parents,60.021786
54,partner,182.8898
54,coworkers,184.43581
55,alone,384.14532
55,friends,33.079144
55,children,88.129921
55,parents,60.739655
55,partner,184.38846
55,coworkers,162.92227
56,alone,387.00711
56,friends,36.820248
56,children,78.608688
56,parents,66.083549
56,partner,195.93608
56,coworkers,154.11407
57,alone,399.18466
57,friends,31.479084
57,children,73.898285
57,parents,58.831005
57,partner,185.31619
57,coworkers,157.73422
58,alone,409.77731
58,friends,35.2756
58,children,68.309761
58,parents,65.851311
58,partner,186.54398
58,coworkers,140.36014
59,alone,411.51978
59,friends,29.068735
59,children,70.334312
59,parents,67.322807
59,partner,199.87039
59,coworkers,140.17371
60,alone,413.32019
60,friends,35.94643
60,children,61.933525
60,parents,65.528786
60,partner,204.63687
60,coworkers,125.92768
61,alone,414.82727
61,friends,32.807606
61,children,71.07634
61,parents,60.896008
61,partner,205.22923
61,coworkers,126.77782
62,alone,425.2204
62,friends,34.453568
62,children,57.484367
62,parents,56.583904
62,partner,224.05167
62,coworkers,96.651878
63,alone,430.51068
63,friends,36.147518
63,children,62.510818
63,parents,73.459251
63,partner,232.44521
63,coworkers,78.317001
64,alone,449.01306
64,friends,35.180847
64,children,55.407318
64,parents,63.962303
64,partner,231.84886
64,coworkers,78.246071
65,alone,444.02954
65,friends,35.90049
65,children,57.586105
65,parents,65.28495
65,partner,242.53215
65,coworkers,62.186493
66,alone,431.98727
66,friends,40.828274
66,children,59.682854
66,parents,69.281334
66,partner,255.86
66,coworkers,50.919098
67,alone,433.85413
67,friends,38.98082
67,children,62.771469
67,parents,58.832348
67,partner,258.14743
67,coworkers,44.558029
68,alone,448.22601
68,friends,41.382526
68,children,53.818981
68,parents,53.716782
68,partner,260.36365
68,coworkers,39.273418
69,alone,443.00061
69,friends,42.001629
69,children,68.845222
69,parents,61.424671
69,partner,270.69342
69,coworkers,27.190746
70,alone,448.85193
70,friends,45.80217
70,children,52.782196
70,parents,47.977863
70,partner,261.86359
70,coworkers,26.851473
71,alone,444.47784
71,friends,44.433987
71,children,59.073078
71,parents,58.145714
71,partner,266.694
71,coworkers,21.892221
72,alone,474.45526
72,friends,44.234802
72,children,46.338203
72,parents,57.166805
72,partner,261.05215
72,coworkers,20.653986
73,alone,451.40637
73,friends,36.592476
73,children,56.115063
73,parents,56.550076
73,partner,276.13379
